OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,config_id
False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,100
False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,101
True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,102
False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,103
False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,104
False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,105
False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,106
False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,107
False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,108
False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,109
False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,111
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,112
False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,113
False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,114
False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,115
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,116
False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,117
False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,118
False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,119
False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,120
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,121
True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,122
False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,123
False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,124
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,125
False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,126
False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,127
False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,128
False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,129
False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,130
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,131
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,132
False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,133
False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,134
False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,135
False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,136
False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,137
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,138
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,139
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,140
False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,141
False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,142
False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,143
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,144
False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,145
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,147
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,148
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,149
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,150
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,151
False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,152
False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,153
False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,154
False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,155
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,156
False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,157
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,158
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,159
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,160
False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,161
False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,162
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,163
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,164
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,165
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,166
True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,167
True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,168
True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,169
True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,170
True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,171
True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,172
True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,173
True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,174
True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,175
True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,176
True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,177
True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,178
True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,False,179
True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,180
True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,181
False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,182
True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,183
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,184
True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,185
True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,186
True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,187
True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,188
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,189
True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,190
True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,191
True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,192
True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,193
True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,194
True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,195
True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,196
False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,197
True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,198
True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,199
True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,200
True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,201
True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,202
True,True,True,True,True,False,True,False,False,True,False,True,True,True,True,True,203
True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,204
True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,205
True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,206
True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,207
True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,208
True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,209
False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,210
True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,211
True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,212
True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,213
True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,214
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,215
True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,216
True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,217
True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,218
True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,219
True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,False,220
True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,221
False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,223
True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,224
True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,225
True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,226
True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,227
True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,228
True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,229
True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,230
True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,False,231
True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,232
True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,233
True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,234
False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,235
True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,236
True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,237
True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,238
True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,240
True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,241
False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,242
True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,243
True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,244
True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,245
False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,246
True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,247
True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,248
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,249
False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,250
True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,252
True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,253
True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,254
True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,255
False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,256
True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,257
True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,258
True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,259
True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,260
True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,False,261
True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,262
True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,263
True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,264
True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,266
False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,267
True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,268
True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,269
True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,False,270
True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,271
True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,272
False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,273
True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,275
True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,276
True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,277
True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,False,278
True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,279
False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,280
False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,281
True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,282
True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,283
False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,284
True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,285
False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,286
True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,False,287
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,288
True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,289
True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,290
False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,291
True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,292
True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,294
False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,295
True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,False,297
False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,298
True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,299
False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,300
False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,301
True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,302
False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True,303
False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,304
False,True,False,True,False,True,True,False,False,False,True,True,False,True,False,False,305
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,306
True,True,True,True,True,False,True,True,False,False,False,True,True,False,True,False,308
True,True,True,True,True,False,True,True,False,True,False,False,False,False,True,True,309
False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,310
False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,311
True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,312
True,True,True,True,False,False,True,False,True,False,False,True,False,True,True,True,313
False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,314
False,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,315
True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,False,316
False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,317
True,False,False,False,False,False,False,True,True,True,False,False,False,True,True,False,318
True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,False,319
True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,False,320
False,True,False,False,True,False,False,True,True,True,True,False,False,False,True,False,321
False,True,False,False,True,False,False,True,True,True,False,False,True,True,True,True,322
False,True,False,False,True,False,False,False,True,True,True,False,False,True,True,False,323
True,False,True,True,True,False,True,True,False,True,False,True,True,True,True,True,324
True,True,True,True,True,False,False,True,False,False,False,True,True,True,True,False,325
True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,False,327
False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,328
True,True,True,True,False,False,True,True,False,True,False,True,True,True,True,True,329
False,True,False,False,True,False,False,True,True,True,True,False,False,True,False,False,330
False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,331
True,True,True,True,True,False,True,True,False,False,False,True,True,True,False,False,332
True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,False,333
True,True,True,True,True,False,True,True,False,True,False,True,False,True,True,True,334
True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,335
True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,336
False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,337
False,True,False,False,True,False,True,False,True,True,True,False,False,False,True,False,338
False,True,False,False,True,False,True,True,True,True,True,False,False,False,False,False,339
False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,340
True,True,True,True,False,False,True,True,True,False,False,True,False,True,False,True,341
True,True,True,False,True,False,True,True,False,True,False,True,True,True,True,True,342
False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,343
True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,344
True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,345
False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,346
True,False,True,False,True,False,True,False,True,True,False,False,False,True,True,False,347
False,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,348
True,True,True,True,True,False,True,True,False,False,False,True,True,True,True,True,349
True,True,True,True,True,False,False,True,False,True,False,True,True,True,True,True,351
True,True,True,True,True,False,False,True,False,True,False,True,False,True,True,False,353
True,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,354
False,True,False,False,True,False,True,False,True,True,True,False,False,True,False,False,355
False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,356
False,True,False,False,True,False,False,True,True,False,True,False,False,True,True,False,357
False,True,False,False,True,False,True,True,True,False,True,False,False,False,True,False,358
True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,359
True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,361
False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,362
False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,363
True,True,True,True,False,False,True,True,False,False,False,True,True,True,False,True,364
False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,True,365
False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,367
True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,368
False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,369
False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,370
False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,371
True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,372
False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,373
False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,374
True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,375
True,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,376
True,True,True,True,False,False,True,False,True,False,False,True,True,True,False,True,377
False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,378
False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,379
True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,380
True,False,True,True,True,False,False,True,False,True,False,True,True,True,True,False,381
True,True,True,False,True,False,False,True,False,True,False,True,True,True,True,False,382
True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,383
False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,384
False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,385
True,True,True,True,True,False,True,True,False,True,False,True,True,False,True,True,386
False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,387
True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,False,388
True,False,True,False,True,False,False,False,False,False,False,True,True,False,True,True,389
True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,390
False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,391
False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,392
True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,False,393
True,True,True,True,True,False,True,True,False,False,True,True,False,True,True,False,394
True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,395
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,396
False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,397
False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,398
True,False,True,False,True,False,False,False,False,False,False,True,True,True,False,True,399
True,True,True,True,True,False,True,True,False,False,True,True,True,False,True,False,400
True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,401
False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,402
False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,403
True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,404
False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,405
False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,406
True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,False,407
False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,408
False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,409
False,True,True,True,True,False,False,True,False,True,False,True,True,True,True,False,410
False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,411
True,True,False,True,True,False,False,True,False,True,False,True,True,True,True,False,412
False,False,True,False,True,False,True,False,True,True,True,False,True,True,False,False,413
True,False,False,False,True,False,True,False,True,True,True,False,True,True,False,False,414
True,True,True,True,False,False,True,True,False,False,False,True,False,True,True,True,415
True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,False,416
True,True,True,True,True,False,False,False,False,True,False,True,True,True,True,False,417
True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,418
False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,419
True,True,False,True,False,False,True,True,True,False,False,True,False,True,True,True,420
False,True,False,False,True,False,True,True,True,False,True,False,False,True,False,False,421
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,422
False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,423
False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,424
False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,425
False,True,True,True,False,False,True,True,True,False,False,True,False,True,True,True,426
False,True,False,False,True,False,False,True,True,False,True,False,True,True,False,False,427
True,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,428
True,True,True,True,True,False,False,True,False,True,False,True,True,True,False,False,429
False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,430
True,False,True,False,False,False,False,True,False,False,False,True,True,False,True,True,431
False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,432
False,True,False,False,True,False,True,True,True,False,True,False,True,False,False,False,433
True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,436
False,True,False,False,True,False,False,False,True,True,True,False,True,False,True,False,437
True,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,438
