tiff,anyScriptOrigin,validate,jpg,png,onload,pdf,config_id,dpi,resolution,quality,indexed
False,True,True,True,False,True,False,1,100,8294400,0.9,8
False,False,False,False,False,True,True,2,100,307200,0.1,2
False,True,False,False,False,False,True,3,400,307200,0.1,1
False,True,True,False,False,False,True,4,400,307200,0.1,1
False,True,True,True,False,True,False,5,50,8294400,0.9,8
False,False,False,False,False,True,True,6,400,307200,0.1,1
False,True,True,False,True,False,False,7,200,307200,0.1,1
False,True,True,True,False,False,False,8,50,2073600,0.1,1
False,True,False,False,False,False,True,9,400,307200,0.1,8
True,True,True,False,False,True,False,10,400,2073600,0.1,8
False,True,True,True,False,True,False,11,50,2073600,0.9,8
True,True,True,False,False,False,False,12,200,307200,0.1,1
False,False,False,False,True,False,False,13,400,8294400,0.1,2
False,True,True,True,False,True,False,14,100,2073600,0.9,8
True,True,True,False,False,True,False,15,400,2073600,0.1,4
False,True,True,True,False,True,False,16,400,2073600,0.9,8
False,False,False,False,False,True,True,17,400,307200,0.1,8
False,True,True,False,True,True,False,18,400,2073600,0.1,8
False,False,False,False,True,False,False,19,50,8294400,0.1,1
True,False,False,False,False,False,False,20,50,8294400,0.1,1
False,False,False,False,True,False,False,21,50,2073600,0.1,1
False,True,True,True,False,True,False,22,50,307200,0.9,8
True,False,False,False,False,False,False,23,50,2073600,0.1,1
True,True,True,False,False,False,False,24,400,307200,0.1,1
False,True,False,False,False,False,True,25,200,307200,0.1,8
False,True,True,True,False,True,False,26,100,307200,0.9,8
False,False,False,False,True,False,False,27,100,2073600,0.1,1
False,True,True,True,False,True,False,28,200,2073600,0.9,8
False,True,True,False,True,False,False,29,400,307200,0.1,1
False,True,True,False,False,False,True,30,50,307200,0.1,1
False,True,True,False,False,False,True,31,100,307200,0.1,1
True,False,False,False,False,False,False,32,100,2073600,0.1,1
False,True,True,True,False,True,False,33,200,8294400,0.9,8
False,True,True,True,False,True,False,34,400,8294400,0.9,8
False,True,True,False,True,True,False,35,400,2073600,0.1,4
False,True,True,False,False,True,True,36,50,2073600,0.1,8
False,False,False,False,False,True,True,37,200,307200,0.1,8
False,True,True,False,True,False,False,38,50,307200,0.1,1
False,True,False,False,False,False,True,39,100,307200,0.1,8
False,False,False,False,False,True,True,40,100,307200,0.1,8
True,True,True,False,False,False,False,41,50,307200,0.1,1
False,False,True,False,False,False,True,42,200,307200,0.1,8
True,True,True,False,False,False,False,43,100,307200,0.1,1
False,True,True,True,False,True,False,44,400,8294400,0.1,8
False,True,True,False,False,True,True,45,50,2073600,0.1,4
False,True,True,False,True,False,False,46,100,307200,0.1,1
False,True,True,False,False,True,True,47,200,2073600,0.1,8
False,False,True,False,True,True,False,48,400,307200,0.1,1
False,False,False,False,True,False,False,49,100,8294400,0.1,1
True,False,False,False,False,False,False,50,100,8294400,0.1,1
False,True,True,False,False,True,True,51,200,2073600,0.1,4
False,False,False,False,False,False,True,52,100,8294400,0.1,1
True,False,True,False,False,True,False,53,400,307200,0.1,1
False,True,True,True,False,True,False,54,200,8294400,0.1,8
False,False,True,False,False,False,True,55,100,307200,0.1,8
False,True,True,True,False,True,False,56,400,2073600,0.1,8
False,True,False,False,False,False,True,57,200,307200,0.1,4
False,True,True,True,False,True,False,58,200,2073600,0.1,8
False,True,True,True,False,True,False,59,50,307200,0.1,8
False,False,False,False,False,False,True,60,100,2073600,0.1,1
True,False,False,False,False,False,False,61,100,307200,0.1,1
False,False,True,False,False,False,True,62,200,307200,0.1,4
False,False,False,False,False,True,True,63,200,307200,0.1,4
False,True,False,False,False,False,True,64,200,307200,0.1,1
False,True,True,True,False,True,False,65,100,307200,0.1,8
False,True,True,False,False,True,True,66,400,307200,0.1,8
False,False,True,False,False,False,True,67,200,307200,0.1,1
False,True,True,False,False,True,True,68,400,307200,0.1,4
False,False,True,False,False,True,True,69,400,307200,0.1,1
False,False,True,False,True,True,False,70,50,307200,0.1,1
False,False,False,False,True,False,False,71,100,307200,0.1,1
True,True,True,False,False,True,False,72,50,307200,0.1,8
True,False,True,False,False,True,False,73,50,307200,0.1,1
True,False,False,False,False,False,False,74,50,307200,0.1,1
False,False,True,False,False,True,True,75,50,307200,0.1,1
True,False,True,False,False,True,False,76,100,307200,0.1,1
False,False,False,False,False,True,True,77,200,307200,0.1,1
False,True,False,False,False,False,True,78,100,307200,0.1,4
False,False,True,False,False,False,True,79,100,307200,0.1,4
False,True,True,True,False,True,False,80,400,307200,0.1,8
True,True,True,False,False,True,False,81,50,307200,0.1,4
False,False,False,False,False,True,True,82,100,307200,0.1,4
False,True,False,False,False,False,True,83,100,307200,0.1,1
False,True,True,False,True,True,False,84,50,307200,0.1,8
False,False,True,False,False,False,True,85,100,307200,0.1,1
False,True,True,True,False,True,False,86,200,307200,0.1,8
False,True,True,False,True,True,False,87,50,307200,0.1,4
False,False,True,False,True,True,False,88,100,307200,0.1,1
True,True,True,False,False,True,False,89,200,307200,0.1,8
False,False,False,False,False,True,True,90,100,307200,0.1,1
False,False,True,False,False,True,True,91,100,307200,0.1,1
False,False,True,True,False,False,False,92,400,307200,0.9,1
False,False,True,True,False,False,False,93,400,307200,0.9,4
False,True,False,False,True,False,False,94,100,307200,0.1,8
False,False,True,True,False,False,False,95,400,307200,0.9,2
False,True,True,True,False,True,False,96,400,307200,0.9,8
False,False,False,True,False,True,False,97,400,307200,0.9,4
True,True,True,False,False,True,False,98,200,307200,0.1,4
False,True,True,False,True,True,False,99,200,307200,0.1,8
False,True,True,False,True,True,False,100,200,307200,0.1,4
False,True,False,False,True,False,False,101,100,307200,0.1,4
False,False,False,False,True,False,False,102,50,307200,0.1,1
False,True,False,True,False,False,False,103,400,307200,0.9,4
False,True,True,False,True,True,False,104,400,8294400,0.1,4
False,True,True,False,True,True,False,105,400,8294400,0.1,8
True,False,False,False,False,False,False,106,400,307200,0.1,1
False,False,True,False,True,False,False,107,100,307200,0.1,8
False,False,False,False,True,False,False,108,400,307200,0.1,1
False,False,False,False,False,False,True,109,400,307200,0.1,1
False,True,True,False,True,True,False,110,400,307200,0.1,1
False,False,True,False,True,False,False,111,100,307200,0.1,4
False,False,False,False,False,False,True,112,50,307200,0.1,1
False,False,False,False,False,False,True,113,100,307200,0.1,1
True,False,False,False,False,False,False,114,400,307200,0.1,4
