auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,config_id
1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,2
0,0,1,0,0,0,0,0,0,0,0,0,3
0,0,0,1,0,0,0,0,0,0,0,0,4
0,0,0,0,1,0,0,0,0,0,0,0,5
0,0,0,0,0,1,0,0,0,0,0,0,6
0,0,0,0,0,0,1,0,0,0,0,0,7
0,0,0,0,0,0,0,1,0,0,0,0,8
0,0,0,0,0,0,0,0,1,0,0,0,9
0,0,0,0,0,0,0,0,0,1,0,0,10
0,0,0,0,0,0,0,0,0,0,1,0,11
0,0,0,0,0,0,0,0,0,0,0,1,12
0,1,1,1,1,1,1,1,1,1,1,0,13
1,0,1,1,1,1,1,1,1,1,1,0,14
1,1,0,1,1,1,1,1,1,1,1,0,15
1,1,1,0,1,1,1,1,1,1,1,0,16
1,1,1,1,0,1,1,1,1,1,1,0,17
1,1,1,1,1,0,1,1,1,1,1,0,18
1,1,1,1,1,1,0,1,1,1,1,0,19
1,1,1,1,1,1,1,0,1,1,1,0,20
1,1,1,1,1,1,1,1,0,1,1,0,21
1,1,1,1,1,1,1,1,1,0,1,0,22
1,1,1,1,1,1,1,1,1,1,0,0,23
1,1,1,1,1,1,1,1,1,1,1,0,24
1,1,0,0,0,0,0,0,0,0,0,0,25
1,0,1,0,0,0,0,0,0,0,0,0,26
1,0,0,1,0,0,0,0,0,0,0,0,27
1,0,0,0,1,0,0,0,0,0,0,0,28
1,0,0,0,0,1,0,0,0,0,0,0,29
1,0,0,0,0,0,1,0,0,0,0,0,30
1,0,0,0,0,0,0,1,0,0,0,0,31
1,0,0,0,0,0,0,0,1,0,0,0,32
1,0,0,0,0,0,0,0,0,1,0,0,33
1,0,0,0,0,0,0,0,0,0,1,0,34
1,0,0,0,0,0,0,0,0,0,0,1,35
0,1,1,0,0,0,0,0,0,0,0,0,36
0,1,0,1,0,0,0,0,0,0,0,0,37
0,1,0,0,1,0,0,0,0,0,0,0,38
0,1,0,0,0,1,0,0,0,0,0,0,39
0,1,0,0,0,0,1,0,0,0,0,0,40
0,1,0,0,0,0,0,1,0,0,0,0,41
0,1,0,0,0,0,0,0,1,0,0,0,42
0,1,0,0,0,0,0,0,0,1,0,0,43
0,1,0,0,0,0,0,0,0,0,1,0,44
0,1,0,0,0,0,0,0,0,0,0,1,45
0,0,1,1,0,0,0,0,0,0,0,0,46
0,0,1,0,1,0,0,0,0,0,0,0,47
0,0,1,0,0,1,0,0,0,0,0,0,48
0,0,1,0,0,0,1,0,0,0,0,0,49
0,0,1,0,0,0,0,1,0,0,0,0,50
0,0,1,0,0,0,0,0,1,0,0,0,51
0,0,1,0,0,0,0,0,0,1,0,0,52
0,0,1,0,0,0,0,0,0,0,1,0,53
0,0,1,0,0,0,0,0,0,0,0,1,54
0,0,0,1,1,0,0,0,0,0,0,0,55
0,0,0,1,0,1,0,0,0,0,0,0,56
0,0,0,1,0,0,1,0,0,0,0,0,57
0,0,0,1,0,0,0,1,0,0,0,0,58
0,0,0,1,0,0,0,0,1,0,0,0,59
0,0,0,1,0,0,0,0,0,1,0,0,60
0,0,0,1,0,0,0,0,0,0,1,0,61
0,0,0,1,0,0,0,0,0,0,0,1,62
0,0,0,0,1,1,0,0,0,0,0,0,63
0,0,0,0,1,0,1,0,0,0,0,0,64
0,0,0,0,1,0,0,1,0,0,0,0,65
0,0,0,0,1,0,0,0,1,0,0,0,66
0,0,0,0,1,0,0,0,0,1,0,0,67
0,0,0,0,1,0,0,0,0,0,1,0,68
0,0,0,0,1,0,0,0,0,0,0,1,69
0,0,0,0,0,1,1,0,0,0,0,0,70
0,0,0,0,0,1,0,1,0,0,0,0,71
0,0,0,0,0,1,0,0,1,0,0,0,72
0,0,0,0,0,1,0,0,0,1,0,0,73
0,0,0,0,0,1,0,0,0,0,1,0,74
0,0,0,0,0,1,0,0,0,0,0,1,75
0,0,0,0,0,0,1,1,0,0,0,0,76
0,0,0,0,0,0,1,0,1,0,0,0,77
0,0,0,0,0,0,1,0,0,1,0,0,78
0,0,0,0,0,0,1,0,0,0,1,0,79
0,0,0,0,0,0,1,0,0,0,0,1,80
0,0,0,0,0,0,0,1,1,0,0,0,81
0,0,0,0,0,0,0,1,0,1,0,0,82
0,0,0,0,0,0,0,1,0,0,1,0,83
0,0,0,0,0,0,0,1,0,0,0,1,84
0,0,0,0,0,0,0,0,1,1,0,0,85
0,0,0,0,0,0,0,0,1,0,1,0,86
0,0,0,0,0,0,0,0,1,0,0,1,87
0,0,0,0,0,0,0,0,0,1,1,0,88
0,0,0,0,0,0,0,0,0,1,0,1,89
0,0,0,0,0,0,0,0,0,0,1,1,90
0,0,1,1,1,1,1,1,1,1,1,0,91
0,1,0,1,1,1,1,1,1,1,1,0,92
0,1,1,0,1,1,1,1,1,1,1,0,93
0,1,1,1,0,1,1,1,1,1,1,0,94
0,1,1,1,1,0,1,1,1,1,1,0,95
0,1,1,1,1,1,0,1,1,1,1,0,96
0,1,1,1,1,1,1,0,1,1,1,0,97
0,1,1,1,1,1,1,1,0,1,1,0,98
0,1,1,1,1,1,1,1,1,0,1,0,99
0,1,1,1,1,1,1,1,1,1,0,0,100
1,0,0,1,1,1,1,1,1,1,1,0,101
1,0,1,0,1,1,1,1,1,1,1,0,102
1,0,1,1,0,1,1,1,1,1,1,0,103
1,0,1,1,1,0,1,1,1,1,1,0,104
1,0,1,1,1,1,0,1,1,1,1,0,105
1,0,1,1,1,1,1,0,1,1,1,0,106
1,0,1,1,1,1,1,1,0,1,1,0,107
1,0,1,1,1,1,1,1,1,0,1,0,108
1,0,1,1,1,1,1,1,1,1,0,0,109
1,1,0,0,1,1,1,1,1,1,1,0,110
1,1,0,1,0,1,1,1,1,1,1,0,111
1,1,0,1,1,0,1,1,1,1,1,0,112
1,1,0,1,1,1,0,1,1,1,1,0,113
1,1,0,1,1,1,1,0,1,1,1,0,114
1,1,0,1,1,1,1,1,0,1,1,0,115
1,1,0,1,1,1,1,1,1,0,1,0,116
1,1,0,1,1,1,1,1,1,1,0,0,117
1,1,1,0,0,1,1,1,1,1,1,0,118
1,1,1,0,1,0,1,1,1,1,1,0,119
1,1,1,0,1,1,0,1,1,1,1,0,120
1,1,1,0,1,1,1,0,1,1,1,0,121
1,1,1,0,1,1,1,1,0,1,1,0,122
1,1,1,0,1,1,1,1,1,0,1,0,123
1,1,1,0,1,1,1,1,1,1,0,0,124
1,1,1,1,0,0,1,1,1,1,1,0,125
1,1,1,1,0,1,0,1,1,1,1,0,126
1,1,1,1,0,1,1,0,1,1,1,0,127
1,1,1,1,0,1,1,1,0,1,1,0,128
1,1,1,1,0,1,1,1,1,0,1,0,129
1,1,1,1,0,1,1,1,1,1,0,0,130
1,1,1,1,1,0,0,1,1,1,1,0,131
1,1,1,1,1,0,1,0,1,1,1,0,132
1,1,1,1,1,0,1,1,0,1,1,0,133
1,1,1,1,1,0,1,1,1,0,1,0,134
1,1,1,1,1,0,1,1,1,1,0,0,135
1,1,1,1,1,1,0,0,1,1,1,0,136
1,1,1,1,1,1,0,1,0,1,1,0,137
1,1,1,1,1,1,0,1,1,0,1,0,138
1,1,1,1,1,1,0,1,1,1,0,0,139
1,1,1,1,1,1,1,0,0,1,1,0,140
1,1,1,1,1,1,1,0,1,0,1,0,141
1,1,1,1,1,1,1,0,1,1,0,0,142
1,1,1,1,1,1,1,1,0,0,1,0,143
1,1,1,1,1,1,1,1,0,1,0,0,144
1,1,1,1,1,1,1,1,1,0,0,0,145
0,0,0,1,1,1,1,0,0,0,1,0,146
1,1,0,1,1,0,0,1,1,1,1,0,147
1,1,1,1,1,1,1,1,1,1,1,1,148
0,1,0,0,0,1,1,1,0,1,0,0,149
0,0,0,0,0,0,0,0,0,0,0,0,150
1,0,0,0,0,1,1,1,1,1,1,0,151
1,1,0,1,1,0,0,1,1,0,0,0,152
1,0,0,0,0,0,1,1,1,0,0,0,153
0,1,0,0,0,1,1,1,0,1,0,1,154
0,1,0,0,0,0,1,1,0,1,0,0,155
0,0,0,0,1,0,1,0,0,0,0,1,156
0,1,0,0,0,0,1,1,0,1,0,1,157
